row_len	 combine2D	 combine2D_rev	elements	speedup of combine2d over combine 2d_rev	Ratio of number of cycles to number of elements for combine2d	Ratio of number of cycles to number of elements for combined2d_rev
100	30450	34644	10000	1.13773399014778	3.045	3.4644
124	41466	45600	15376	1.09969613659384	2.69680020811655	2.96566077003122
156	64590	72009	24336	1.11486298188574	2.65409270216963	2.95894970414201
196	103965	113889	38416	1.09545520126966	2.70629425239484	2.9646241149521
244	157278	181338	59536	1.15297753023309	2.64172937382424	3.04585460897608
300	237921	267975	90000	1.12631924042014	2.64356666666667	2.9775
364	348528	402063	132496	1.15360315383556	2.63047941069919	3.03452934428209
436	498981	570123	190096	1.14257456696748	2.62488952950088	2.99913201750694
516	895533	784236	266256	0.875719822720101	3.36342842978186	2.94542094826032
604	952404	1011627	364816	1.06218264517999	2.61064207710188	2.77297870707425
700	1278252	1390617	490000	1.0879052017912	2.60867755102041	2.83799387755102
804	1686762	1879242	646416	1.11411212725921	2.60940632657608	2.90717123338531
916	2185743	2590065	839056	1.18498149141962	2.605002526649	3.08687977918041
1036	2806191	3093033	1073296	1.10221756109973	2.61455460562603	2.88180800077518
1164	3546648	3967893	1354896	1.1187727115857	2.61765331066001	2.92855909235838
1300	4459221	5190510	1690000	1.16399478743036	2.63859230769231	3.07130769230769
1444	5738856	7070703	2085136	1.23207534742116	2.75226939633674	3.39100327268821
1596	6812457	9145299	2547216	1.34243768437731	2.67447165846948	3.59031154012852
1756	8280936	11593695	3083536	1.40004644402517	2.68553245365061	3.75987016204773
1924	9958416	14359320	3701776	1.44192811386871	2.69017250098331	3.87903536032434
2100	11885061	17513958	4410000	1.47361111566865	2.69502517006803	3.97141904761905
2284	14083134	20930343	5216656	1.48619923661878	2.69964782036615	4.01221452976773
2476	16566522	24761616	6130576	1.49467800181595	2.70227821986058	4.03903581001198
2676	19359831	28991007	7160976	1.49748244186636	2.70351848686548	4.04847146534215
2884	22509537	33564732	8317456	1.49113382474282	2.70630070059884	4.03545651458811
3100	26008002	38486901	9610000	1.47980998309674	2.70634776274714	4.00488043704475
3324	30093573	44240286	11048976	1.47009083966201	2.72365267152359	4.00401684282779
3556	34262685	48079422	12645136	1.40325902654739	2.70955448798653	3.8022067931891
3796	39132564	54135720	14409616	1.38339312496876	2.71572566541676	3.75691621483876
4044	44330508	62728872	16353936	1.41502714112818	2.71069349910627	3.83570487251509
4300	50378565	70198959	18490000	1.39342911017811	2.72463845321796	3.79659053542455
4564	56809281	83454945	20830096	1.46903716313537	2.72726928382855	4.00645993182173
4836	63833310	94379325	23386896	1.47852782504934	2.72944772149327	4.03556440324531
5116	71253939	107029653	26173456	1.502087526698	2.72237411062567	4.08924419457637
5404	79340952	121329564	29203216	1.52921739582858	2.71685666400577	4.15466447257042
5700	88292154	138094992	32490000	1.56406867137934	2.71751782086796	4.25038448753463
6004	97995543	158001678	36048016	1.61233534876173	2.71847257835216	4.38308943271663
6316	108542541	176708874	39891856	1.62801489970647	2.7209198037815	4.42969798146268
6636	119633244	195959115	44036496	1.63799884085731	2.71668399774587	4.44992523928334
