Small narrow range						Large narrow range					
row_len	 combine2D	 combine2D_rev	elements	combine2d/cycles	combine2d_rev/cycles	row_len	 combine2D	 combine2D_rev	elements	combine2d/cycles	combine2d_rev/cycles
50	7464	7035	2500	2.9856	2.814	10000	273421362	484331907	100000000	2.73421362	4.84331907
51	7386	7212	2601	2.8396770472895	2.77277970011534	10001	273419277	453327459	100020001	2.73364601346085	4.53236807106211
52	7515	7524	2704	2.77921597633136	2.78254437869823	10002	274368798	433185297	100040004	2.74259083396278	4.33012074849577
53	7776	7782	2809	2.76824492702029	2.77038091847633	10003	274786269	457994658	100060009	2.74621471401227	4.57719984814313
54	8058	8040	2916	2.76337448559671	2.75720164609054	10004	275822259	425678439	100080016	2.75601733516909	4.25338100465532
55	8520	8355	3025	2.81652892561984	2.76198347107438	10005	273935784	458896659	100100025	2.73662053530956	4.58438106284189
56	8652	8691	3136	2.75892857142857	2.77136479591837	10006	273742965	432292167	100120036	2.73414768848066	4.3177388290192
57	8940	8976	3249	2.75161588180979	2.76269621421976	10007	273759072	458040999	100140049	2.73376211349767	4.57400414293786
58	9210	9261	3364	2.73781212841855	2.75297265160523	10008	274229019	430817007	100160064	2.73790778528257	4.30128526076022
59	9711	9543	3481	2.78971559896581	2.74145360528584	10009	274078236	465958620	100180081	2.73585560387	4.65121025406238
60	9852	9879	3600	2.73666666666667	2.74416666666667	10010	275016537	432396654	100200100	2.74467327876918	4.31533156154535
61	10176	10152	3721	2.73474872346144	2.72829884439667	10011	276243294	457181733	100220121	2.75636560047658	4.56177590326398
62	10509	10455	3844	2.73387096774194	2.71982310093652	10012	273880605	433451430	100240144	2.73224472821986	4.32413016086649
63	11022	10809	3969	2.77702191987906	2.72335600907029	10013	273812715	457148004	100260169	2.73102187769103	4.55961732919082
64	11193	11208	4096	2.732666015625	2.736328125	10014	273613935	431320506	100280196	2.72849421833998	4.30115340021872
65	11520	11556	4225	2.72662721893491	2.73514792899408	10015	274166643	465794025	100300225	2.73345990001518	4.64399780758219
66	11826	11883	4356	2.71487603305785	2.72796143250689	10016	276743742	550768992	100320256	2.7586028289242	5.49010752125672
67	12327	12189	4489	2.74604588995322	2.71530407663177	10017	274016421	459231402	100340289	2.73087135517419	4.57673987763779
68	12558	12585	4624	2.71583044982699	2.72166955017301	10018	274100040	433991727	100360324	2.73115937728539	4.32433565080958
69	12915	12882	4761	2.71266540642722	2.705734089477	10019	284041161	459564849	100380361	2.82964872979487	4.57823467082371
70	13275	13248	4900	2.70918367346939	2.70367346938776	10020	283428651	432691173	100400400	2.82298328492715	4.30965586790491
71	13830	13632	5041	2.74350327316009	2.70422535211268	10021	276541617	460517655	100420441	2.75383790636809	4.58589556482828

