row_len	 ijk	 kij	 jki	inner loop iterations	ijk cycles per innermost loop iteration	kij cycles per innermost loop iteration	jki cycles per innermost loop iteration	Number of Elements
8	1948	1504	1268	512	3.8046875	2.9375	2.4765625	64
14	4344	3038	3148	2744	1.58309037900875	1.10714285714286	1.14723032069971	196
24	19248	13022	14372	13824	1.39236111111111	0.941984953703704	1.0396412037037	576
38	130768	49708	52192	54872	2.38314623122904	0.905890071438985	0.951159061087622	1444
56	345192	212908	186508	175616	1.96560677842566	1.21234967201166	1.06202168367347	3136
78	740924	545446	549898	474552	1.56131256427114	1.14939142601864	1.15877290581433	6084
104	1636612	1156092	1160540	1124864	1.45494210855712	1.02776157828858	1.03171583409194	10816
134	3600886	2345878	2464524	2406104	1.49656290833646	0.97496949425295	1.02427991475015	17956
168	7341084	4531560	5654706	4741632	1.54821884110787	0.955696266601879	1.19256534459022	28224
206	13956342	8239652	11068466	8741816	1.59650374704752	0.942556100471573	1.26615179271675	42436
248	24788600	14272874	19781228	15252992	1.62516311553825	0.935742574309355	1.29687526224363	61504
294	41544028	23325786	38473256	25412184	1.63480746086208	0.91789772968746	1.51396888988369	86436
344	66820108	37061886	75450646	40707584	1.64146582612223	0.910441798756713	1.85347885052574	118336
398	104477238	56822294	113554566	63044792	1.657190620916	0.901300364350476	1.80117282328412	158404
456	158105380	84884778	175291696	94818816	1.66744731341087	0.895231364205181	1.84870159104286	207936
518	232025594	123506692	253002708	138991832	1.66934697284946	0.888589568342404	1.82027033070548	268324
584	339177064	176186980	366657216	199176704	1.70289525425624	0.88457624040209	1.84086395967271	341056
654	471616068	247164522	533313364	279726264	1.68599137333776	0.883594262711063	1.9065544878546	427716
728	649315470	340392386	709144196	385828352	1.68291279434022	0.882237876598556	1.83797844902803	529984
806	882255314	463650316	950660628	523606616	1.68495830083247	0.885493616451936	1.81560087086447	649636
888	1272897928	616630076	1277510372	700227072	1.81783592622937	0.880614447308887	1.82442299517377	788544
974	1592613950	813857578	1697774130	924010424	1.72358872652718	0.88078830807649	1.8373971612251	948676
1064	2047823617	1060482348	2242531600	1204550144	1.70007336531438	0.880397012347209	1.86171709925926	1132096
1158	2727523712	1403349892	3425302672	1552836312	1.75647857467156	0.903733304763162	2.20583627876935	1340964
1256	3924115862	2219835196	4366524138	1981385216	1.9804911383774	1.12034508891783	2.20377345240069	1577536
1358	6095418672	2843949688	7202828932	2504374712	2.43390840946968	1.13559271876245	2.87609873134672	1844164
1464	7041577664	3580735820	8018243896	3137785344	2.24412344759808	1.14116659600281	2.55538318175024	2143296
1574	11083666712	4521275616	16093723674	3899547224	2.84229580392947	1.1594360463629	4.12707495243299	2477476
1688	11518722458	5732907328	14001053408	4809692672	2.39489781229831	1.19194878320907	2.91100790898933	2849344
1806	16710457766	7331767496	23066595824	5890514616	2.83684174564486	1.24467350884509	3.91588805523813	3261636
1928	18333958288	8773695422	22926754012	7166730752	2.55820386204457	1.22422562331528	3.19905334878137	3717184
2054	24367012544	10690210050	33168683824	8665653464	2.81190710489736	1.2336299962156	3.82760330329314	4218916
2184	28039439724	12745279394	37166244078	10417365504	2.69160563803138	1.22346474155161	3.56772007891334	4769856
2318	36414592584	15352470126	56866030084	12454901432	2.92371583852451	1.23264485149239	4.56575512816953	5373124
2456	42232732198	18274852750	61696172086	14814434816	2.85078254570924	1.23358420196109	4.16459843742175	6031936

