Plateau IJK				
row_len	Elements	 ijk	 kij	 jki
104	10816	1641554	1170356	1209168
110	12100	1931188	1344468	1376272
118	13924	2422842	1632154	1739646
128	16384	3379926	2061964	9957908
140	19600	4090548	2712670	2924184
154	23716	5563106	3502326	4358258
170	28900	7925084	4699510	6147096
188	35344	10771812	6278646	8090104
208	43264	14406346	8457550	16428402
230	52900	19793032	11502278	15314994
254	64516	26565848	15289226	20969892
280	78400	35489236	20421010	33102188
308	94864	47694816	26810490	46448254
338	114244	63613044	35229792	68420974
370	136900	83757350	46342230	92331474
404	163216	109108834	59660220	122363650
440	193600	141922368	76928410	160105434
478	228484	182632290	98252128	204688758
518	268324	232228250	124468250	258217524
560	313600	301206636	156141732	415081656
604	364816	368788880	195448636	411474210
650	422500	462269592	242867258	510328946
698	487204	573700928	301343824	641873730
748	559504	703469550	374711942	778522482
800	640000	931036442	460524692	1732303788
854	729316	1082485388	560220182	1360509256
910	828100	1280591734	664529336	2121805454
968	937024	1530176520	801027918	1697623236
1028	1056784	1835357412	962680796	2244244162
1090	1188100	2219887354	1174574712	2788645742

