row_len	 ijk	 kij	 jki	inner loop iterations	ijk cycles per innermost loop iteration	kij cycles per innermost loop iteration	jki cycles per innermost loop iteration	Number of Elements
8	2260	1316	1244	512	4.4140625	2.5703125	2.4296875	64
11	2392	1918	1864	1331	1.79714500375657	1.44102178812923	1.40045078888054	121
16	6040	4422	4400	4096	1.474609375	1.07958984375	1.07421875	256
23	16996	11942	12198	12167	1.39689323580176	0.98150735596285	1.00254787540067	529
32	84196	38066	31010	32768	2.5694580078125	1.16168212890625	0.94635009765625	1024
43	134438	132958	132304	79507	1.69089514130831	1.6722804281384	1.66405473731873	1849
56	294906	259076	337394	175616	1.67926612609329	1.47524143586006	1.92120307944606	3136
71	523590	404410	439960	357911	1.46290558267279	1.12991777285415	1.22924414170003	5041
88	1020514	712912	747644	681472	1.49751420454545	1.04613542449286	1.09710156836965	7744
107	1767578	1254334	1428210	1225043	1.44287016863898	1.02391018111201	1.16584479075428	11449
128	3275290	2070496	9950724	2097152	1.56177997589111	0.987289428710938	4.74487495422363	16384
151	5207002	3314038	3675290	3442951	1.51236599068648	0.9625574107793	1.06748251717785	22801
176	8346484	5183532	9217108	5451776	1.53096605583208	0.950796951305409	1.69066153855184	30976
203	13543634	8111198	9835482	8365427	1.61900091890109	0.969609560874777	1.17572982227925	41209
232	20190958	12057242	14004492	12487168	1.61693652235639	0.965570576130633	1.12151065798106	53824
263	30131104	17413826	22424472	18191447	1.65633355059661	0.957253482914251	1.23269314420123	69169
296	42794544	23895172	42574512	25934336	1.65011141985667	0.92137203744102	1.64162722346159	87616
331	60387424	33264502	59705518	36264691	1.66518512456097	0.917269693542956	1.64638154506818	109561
368	84486030	45323128	114754684	49836032	1.69528003353076	0.90944495741555	2.30264488151866	135424
407	112814426	61189322	122634608	67419143	1.67332927978631	0.907595666115186	1.81898793937502	165649
448	157041550	81025928	314747134	89915392	1.74654802150003	0.901135236111744	3.50048114120439	200704
491	198883602	106376620	215651382	118370771	1.68017493102246	0.898673034747742	1.82182966435185	241081
536	261064434	137404188	305531522	153990656	1.6953264618861	0.892289126945469	1.98409130746219	287296
583	334319814	178109854	382698080	198155287	1.68716070644131	0.898839777108748	1.93130390712209	339889
632	433299648	230669584	486976690	252435968	1.71647349398323	0.913774632939788	1.92910976141086	399424
683	547020072	283484496	757623516	318611987	1.71688478249251	0.8897483696996	2.37788767187846	466489
736	700980276	353015978	1256092284	398688256	1.75821651491034	0.885443633433737	3.15056253876713	541696
791	840308576	438165512	913230010	494913671	1.69788919813452	0.885337257131456	1.84523092311184	625681
848	1072576990	539534580	1454567044	609800192	1.75889906902489	0.884772728966278	2.38531745821425	719104
907	1267709340	669779988	1362200926	746142643	1.69901740892726	0.897656760786422	1.82565751841099	822649
968	1558375402	801225448	1670981252	907039232	1.7180904055978	0.883341557600896	1.8422370202395	937024
1031	1944114324	972673696	2018734132	1095912791	1.77396809305057	0.887546622311483	1.84205727734772	1062961
1096	2546728758	1178517212	2464127128	1316532736	1.93442114150362	0.895167419520968	1.8716793442499	1201216
1163	2966622104	1458165448	3161913015	1573037747	1.88591920928646	0.926974226003745	2.01006811249775	1352569
1232	3741705552	1867674300	6106367684	1869959168	2.0009557513504	0.99877811877441	3.26550856751114	1517824

