row_len	Inner Loop Iterations	Bijk - 32	 ijk	 Bijk – 8 	 Bijk – 16	Bijk – 64	Elements	Bsize = 8	Bsize = 16	Bsize = 64	Bsize = 32	No Blocking
64	262144	512799	604020	474864	632790	471141	4096	1.81146240234375	2.41390228271484	1.79726028442383	1.95617294311523	2.30415344238281
128	2097152	3448122	4731759	3662586	4369527	4182330	16384	1.74645709991455	2.08355283737183	1.99429035186768	1.64419269561768	2.25627851486206
192	7077888	11270901	17427588	12309708	14483067	12456846	36864	1.73917812771267	2.04624133639865	1.75996653238932	1.59241019354926	2.46225823296441
256	16777216	29062737	55787391	29072367	34289823	33049350	65536	1.73284810781479	2.04383271932602	1.96989476680756	1.7322741150856	3.32518762350082
320	32768000	53490531	83826186	56732187	66530649	60848103	102400	1.73132894897461	2.03035427856445	1.85693673706055	1.63240145874023	2.55817218017578
384	56623104	96159306	166244028	97873131	115080102	114047643	147456	1.7285016907586	2.03238773345947	2.01415385140313	1.69823445214166	2.93597518073188
448	89915392	142923375	233010054	153194247	182635794	175647123	200704	1.70375998583201	2.03119610488936	1.9534711365102	1.58953180118483	2.59143678092401
512	134217728	301411527	486224367	227489340	272543187	429602166	262144	1.69492766261101	2.03060498088598	3.20078556239605	2.24569087475538	3.62265383452177
576	191102976	303151707	518289588	323515803	388073079	351908985	331776	1.69288731013796	2.03070139001917	1.84146261018981	1.58632645783601	2.71209584930797
640	262144000	429590655	838627551	443844270	531983205	503512935	409600	1.69313152313232	2.02935487747192	1.92074941635132	1.63875829696655	3.19911022567749
704	348913664	582726468	957589908	590058519	708272397	610456500	495616	1.69113044251543	2.02993597006278	1.74959184172277	1.67011650194359	2.74448955945732
768	452984832	793333710	1458050043	767268099	920150121	857326056	589824	1.69380527734756	2.03130448526806	1.89261537128025	1.75134718418121	3.21876129176882
832	575930368	934664943	1738042917	1012019082	1180506579	997851660	692224	1.75718999766305	2.04973837913683	1.732590805144	1.62287838067257	3.01780043833355
896	719323136	1146450306	2269784487	1244608113	1462683642	1320559152	802816	1.73024896699555	2.03341665073317	1.83583578215396	1.59379039630946	3.1554448528123
960	884736000	1438756965	2866145442	1499366145	1799044023	1540691418	921600	1.69470457288954	2.03342468600803	1.74141373019748	1.62619918823242	3.23954879421658
1024	1073741824	2387163723	3854914440	1853096484	2205751224	3924471606	1048576	1.72583058848977	2.05426590889692	3.65494900010526	2.22321946453303	3.59016884118319
1088	1287913472	2052935337	4048103391	2189044326	2619068043	2230876881	1183744	1.69968276098598	2.03357453737389	1.73216363482531	1.59400098037021	3.14314857248422
1152	1528823808	2453134659	5043688671	2591320842	3105965916	2810569749	1327104	1.69497677131935	2.03160488458327	1.83838695753749	1.60458951918677	3.2990647088353
1216	1798045696	2861024589	6251486490	3062693217	3662170815	3108214413	1478656	1.70334559561717	2.03675069167986	1.72866263628041	1.59118569420385	3.47682292163502
1280	2097152000	3544560735	8085971937	3558663201	4276024545	3950007008	1638400	1.69690284776688	2.03896739244461	1.88351011657715	1.69017826795578	3.8556918797493
1344	2427715584	3849379067	10284120255	4115909835	5005766382	4203626916	1806336	1.69538386709141	2.06192455779861	1.73151539813982	1.58559721425753	4.23613059238821
1408	2791309312	4477749780	12199339719	4746299940	5685194469	5224708077	1982464	1.70038480493558	2.03674829033064	1.87177682334906	1.60417541715993	4.37047218900261
1472	3189506048	5144822934	14539626141	5467573422	6505841835	5529187356	2166784	1.71423829888282	2.0397646961916	1.73355600296388	1.61304692845028	4.55858240184782
1536	3623878656	7992689417	18696323916	6273500241	7389519593	10468832877	2359296	1.73115626557006	2.03911893704423	2.88884752243757	2.20556209953847	5.15920252601306
1600	4096000000	6544265397	19101735903	6976837854	8355097539	7097092818	2560000	1.70332955419922	2.03981873510742	1.73268867626953	1.59772104418945	4.66350974194336
1664	4607442944	7365577032	22077713025	7815380700	9478578471	8562608421	2768896	1.69625121677904	2.05723187160535	1.85842961596531	1.59862577171829	4.7917496306168
1728	5159780352	8287198989	24584621925	8817509199	10502892795	8957518395	2985984	1.70889235538529	2.03553098746324	1.73602707555719	1.6061146838911	4.76466443294833
1792	5754585088	9794798835	28754546397	9821689986	11810403456	10786967232	3211264	1.70675901664589	2.05234665495314	1.87449956287796	1.70208602101045	4.99680619145969
1856	6393430016	10144579707	30677571717	10859295645	13026533622	11207087094	3444736	1.69850856548423	2.0374874815866	1.75290682246517	1.58671944192906	4.79829631985136
1920	7077888000	11434119876	34733381382	12108864018	14415289071	13043698935	3686400	1.71080186886258	2.03666532601251	1.84288009855482	1.61547058614095	4.90730870310466
1984	7809531904	12420231648	37997664471	13329152079	15968332722	13637735076	3936256	1.70677989959589	2.04472341214473	1.74629353508561	1.59039386747859	4.86554955381356
2048	8589934592	30415743618	148006403391	33875186579	22050396432	32230531938	4194304	3.94359074754175	2.56700399704278	3.75212774821557	3.54085858189501	17.2302130832104

